age,num_ooids,all_carbonate,carb_no_ooids,all_sediment,sed_no_ooids,all_dolomite,dol_no_ooids
130,6.0,14.0,8.0,69.0,65.0,1.0,0.0
131,8.0,15.0,8.0,65.0,58.0,1.0,0.0
132,8.0,16.0,9.0,69.0,62.0,1.0,0.0
133,7.0,13.0,8.0,64.0,60.0,0.0,0.0
134,7.0,14.0,9.0,73.0,69.0,0.0,0.0
135,7.0,13.0,8.0,62.0,58.0,0.0,0.0
136,7.0,13.0,8.0,62.0,57.0,0.0,0.0
137,7.0,13.0,8.0,62.0,57.0,0.0,0.0
138,7.0,13.0,8.0,66.0,61.0,0.0,0.0
139,7.0,14.0,9.0,63.0,59.0,0.0,0.0
140,7.0,14.0,9.0,58.0,53.0,0.0,0.0
141,8.0,14.0,9.0,63.0,58.0,0.0,0.0
142,8.0,13.0,8.0,58.0,52.0,0.0,0.0
143,8.0,13.0,8.0,61.0,55.0,0.0,0.0
144,8.0,11.0,6.0,55.0,49.0,0.0,0.0
145,10.0,14.0,8.0,64.0,57.0,0.0,0.0
146,10.0,13.0,7.0,60.0,53.0,1.0,1.0
147,12.0,14.0,7.0,57.0,47.0,1.0,1.0
148,12.0,16.0,9.0,61.0,51.0,1.0,1.0
149,10.0,14.0,8.0,60.0,50.0,0.0,0.0
150,12.0,18.0,9.0,66.0,53.0,2.0,1.0
151,10.0,16.0,8.0,61.0,49.0,2.0,1.0
152,10.0,14.0,6.0,57.0,45.0,2.0,1.0
153,11.0,15.0,6.0,61.0,49.0,2.0,1.0
154,16.0,18.0,5.0,68.0,51.0,2.0,1.0
155,14.0,14.0,3.0,56.0,44.0,2.0,1.0
156,15.0,12.0,2.0,60.0,48.0,1.0,0.0
157,15.0,12.0,2.0,54.0,41.0,1.0,0.0
158,14.0,12.0,3.0,53.0,41.0,1.0,0.0
159,14.0,12.0,3.0,57.0,46.0,0.0,0.0
160,14.0,12.0,3.0,52.0,41.0,0.0,0.0
161,16.0,14.0,4.0,65.0,51.0,0.0,0.0
162,16.0,13.0,4.0,67.0,54.0,0.0,0.0
163,16.0,12.0,4.0,57.0,44.0,0.0,0.0
164,15.0,11.0,4.0,64.0,52.0,0.0,0.0
165,20.0,13.0,3.0,68.0,51.0,0.0,0.0
166,19.0,11.0,2.0,64.0,48.0,0.0,0.0
167,18.0,10.0,2.0,56.0,42.0,0.0,0.0
168,22.0,15.0,5.0,72.0,55.0,1.0,0.0
169,17.0,11.0,3.0,60.0,47.0,1.0,0.0
170,16.0,10.0,3.0,70.0,58.0,1.0,0.0
171,13.0,8.0,2.0,54.0,45.0,1.0,0.0
172,11.0,7.0,1.0,49.0,42.0,1.0,0.0
173,11.0,7.0,1.0,51.0,44.0,1.0,0.0
174,12.0,7.0,1.0,55.0,48.0,1.0,0.0
175,8.0,4.0,1.0,46.0,43.0,0.0,0.0
176,8.0,4.0,1.0,46.0,43.0,0.0,0.0
177,8.0,4.0,1.0,50.0,48.0,0.0,0.0
178,7.0,3.0,1.0,47.0,45.0,0.0,0.0
179,7.0,3.0,1.0,47.0,45.0,0.0,0.0
180,7.0,3.0,1.0,47.0,45.0,0.0,0.0
181,7.0,3.0,1.0,52.0,51.0,0.0,0.0
182,6.0,3.0,1.0,48.0,48.0,0.0,0.0
183,6.0,3.0,1.0,48.0,48.0,0.0,0.0
184,6.0,3.0,1.0,50.0,50.0,0.0,0.0
185,6.0,2.0,0.0,49.0,49.0,0.0,0.0
186,6.0,2.0,0.0,54.0,55.0,0.0,0.0
187,6.0,2.0,0.0,47.0,46.0,0.0,0.0
188,6.0,2.0,0.0,45.0,44.0,0.0,0.0
189,5.0,2.0,0.0,44.0,44.0,0.0,0.0
190,5.0,2.0,0.0,47.0,47.0,0.0,0.0
191,5.0,2.0,0.0,44.0,44.0,0.0,0.0
192,6.0,2.0,0.0,49.0,48.0,0.0,0.0
193,6.0,2.0,0.0,41.0,40.0,0.0,0.0
194,6.0,3.0,1.0,48.0,51.0,0.0,0.0
